設備編號,型式,縣市,行政區,設置區域描述,設置地點,取締項目,座標緯度,座標經度,拍攝方向,速限,管轄單位,備註
1,雷達,,,,國道一號南向2公里,超速,25.106857,121.724738,北往南,100,國道公路警一隊,
2,雷達,,,,國道一號南向13.7公里,超速,25.066725,121.624945,北往南,100,國道公路警一隊,
3,雷達,,,,國道一號南向22.7公里,超速,25.07305,121.536862,北往南,100,國道公路警一隊,
4,雷達,,,,國道一號南向26.8公里,超速,25.04396,121.30055,北往南,100,國道公路警一隊,
5,雷達,,,,國道一號南向30公里,超速,25.075938,121.466354,北往南,100,國道公路警一隊,
6,雷達,,,,國道一號南向34.4公里,超速,25.067222,121.424368,北往南,50,國道公路警一隊,
7,雷達,,,,國道一號南向35.56公里,超速,25.03426,121.24545,北往南,100,國道公路警一隊,
8,雷達,,,,國道一號南向51.195公里,超速,25.01288,121.16468,北往南,100,國道公路警一隊,
9,雷達,,,,國道一號南向60.1公里,超速,24.970357,121.216665,北往南,100,國道公路警一隊,
10,雷達,,,,國道一號南向68公里,超速,24.55043,121.10031,北往南,100,國道公路警一隊,
11,雷達,,,,國道一號南向78.2公里,超速,24.884719,121.082151,北往南,100,國道公路警二隊,
12,雷達,,,,國道一號南向81.8公里,超速,24.876605,121.048805,北往南,100,國道公路警二隊,
13,雷達,,,,國道一號南向86.5公里,超速,24.859917,121.010661,北往南,100,國道公路警二隊,
14,雷達,,,,國道一號南向102.5公里,超速,24.736074,120.968521,北往南,100,國道公路警二隊,
15,雷達,,,,國道一號南向106公里,超速,24.725124,120.9376,北往南,100,國道公路警二隊,
16,雷達,,,,國道一號南向124公里,超速,24.592031,120.860444,北往南,100,國道公路警二隊,
17,雷達,,,,國道一號南向126.5公里,超速,24.570803,120.852749,北往南,100,國道公路警二隊,
18,雷達,,,,國道一號南向129.15公里,超速,24.551512,120.839355,北往南,100,國道公路警二隊,
19,雷達,,,,國道一號南向152.9公里,超速,24.37083,120.746455,北往南,100,國道公路警三隊,
20,雷達,,,,國道一號南向165.3公里,超速,24.273297,120.693088,北往南,110,國道公路警三隊,
21,雷達,,,,國道一號南向170.3公里,超速,24.228313,120.685159,北往南,110,國道公路警三隊,
22,雷達,,,,國道一號南向172.4公里,超速,24.214232,120.673167,北往南,110,國道公路警三隊,
23,雷達,,,,國道一號南向187.5公里,超速,24.113134,120.597491,北往南,110,國道公路警三隊,
24,雷達,,,,國道一號南向200.1公里,超速,24.053078,120.523776,北往南,110,國道公路警三隊,
25,雷達,,,,國道一號南向223.5公里,超速,23.844749,120.484221,北往南,110,國道公路警三隊,
26,雷達,,,,國道一號南向238.6公里,超速,23.712355,120.476085,北往南,110,國道公路警四隊,
27,雷達,,,,國道一號南向247.2公里,超速,23.641596,120.443773,北往南,110,國道公路警四隊,
28,雷達,,,,國道一號南向252.2公里,超速,23.597475,120.434351,北往南,110,國道公路警四隊,
29,雷達,,,,國道一號南向260.5公里,超速,23.527652,120.405818,北往南,110,國道公路警四隊,
30,雷達,,,,國道一號南向276.2公里,超速,23.397736,120.355248,北往南,110,國道公路警四隊,
31,雷達,,,,國道一號南向279公里,超速,23.373209,120.350715,北往南,110,國道公路警四隊,
32,雷達,,,,國道一號南向285.3公里,超速,23.334304,120.306842,北往南,110,國道公路警四隊,
33,雷達,,,,國道一號南向293.1公里,超速,23.27464,120.267327,北往南,110,國道公路警四隊,
34,雷達,,,,國道一號南向301.6公里,超速,23.204189,120.23653,北往南,110,國道公路警四隊,
35,雷達,,,,國道一號南向306.1公里,超速,23.16412,120.231495,北往南,110,國道公路警四隊,
36,雷達,,,,國道一號南向315.5公里,超速,23.082615,120.251739,北往南,110,國道公路警四隊,
37,雷達,,,,國道一號南向321.8公里,超速,23.026246,120.249296,北往南,110,國道公路警四隊,
38,雷達,,,,國道一號南向340.2公里,超速,22.867977,120.28468,北往南,110,國道公路警五隊,
39,雷達,,,,國道一號南向353.4公里,超速,22.7585,120.33219,北往南,110,國道公路警五隊,
40,雷達,,,,國道一號南向362.5公里,超速,22.677533,120.328733,北往南,100,國道公路警五隊,
41,雷達,,,,國道一號南向373.5公里,超速,22.585746,120.328357,北往南,60,國道公路警五隊,
42,雷達,,,,國道一號北向1.9公里,超速,25.107764,121.725338,南往北,100,國道公路警一隊,
43,雷達,,,,國道一號北向7.5公里,超速,25.085808,121.680708,南往北,100,國道公路警一隊,
44,雷達,,,,國道一號北向14.5公里,超速,25.065916,121.616437,南往北,100,國道公路警一隊,
45,雷達,,,,國道一號北向34.4公里,超速,25.066258,121.423881,南往北,50,國道公路警一隊,
46,雷達,,,,國道一號北向37公里,超速,25.055336,121.402562,南往北,100,國道公路警一隊,
47,雷達,,,,國道一號北向63.7公里,超速,24.945833,121.194772,南往北,100,國道公路警一隊,
48,雷達,,,,國道一號北向66.6公里,超速,24.55137,121.10067,南往北,100,國道公路警一隊,
49,雷達,,,,國道一號北向81.1公里,超速,24.875991,121.055756,南往北,100,國道公路警二隊,
50,雷達,,,,國道一號北向82.1公里,超速,24.876559,121.046089,南往北,100,國道公路警二隊,
51,雷達,,,,國道一號北向105.5公里,超速,24.726902,120.947318,南往北,100,國道公路警二隊,
52,雷達,,,,國道一號北向127.5公里,超速,24.564767,120.846212,南往北,100,國道公路警二隊,
53,雷達,,,,國道一號北向134.7公里,超速,24.511134,120.808679,南往北,100,國道公路警二隊,
54,雷達,,,,國道一號北向141.7公里,超速,24.462055,120.788041,南往北,100,國道公路警二隊,
55,雷達,,,,國道一號北向157.4公里,超速,24.337972,120.720331,南往北,110,國道公路警三隊,
56,雷達,,,,國道一號北向172.8公里,超速,24.211574,120.6691527,南往北,110,國道公路警三隊,
57,雷達,,,,國道一號北向188公里,超速,24.116181,120.59194,南往北,110,國道公路警三隊,
58,雷達,,,,國道一號北向224.9公里,超速,23.831925,120.484809,南往北,110,國道公路警三隊,
59,雷達,,,,國道一號北向233.4公里,超速,23.75788,120.467784,南往北,110,國道公路警四隊,
60,雷達,,,,國道一號北向246.8公里,超速,23.643088,120.444303,南往北,110,國道公路警四隊,
61,雷達,,,,國道一號北向254.1公里,超速,23.581107,120.428493,南往北,110,國道公路警四隊,
62,雷達,,,,國道一號北向261.7公里,超速,23.516769,120.404041,南往北,110,國道公路警四隊,
63,雷達,,,,國道一號北向277.3公里,超速,23.387621,120.355291,南往北,110,國道公路警四隊,
64,雷達,,,,國道一號北向292.5公里,超速,23.278519,120.271282,南往北,110,國道公路警四隊,
